Konum_km,Hiz_kmh,Kutle_Ton,Cer_Kuvveti_kN,Direnc_kN,Egim_Yuzde
0.000175,1.26,585.775,421.536065775,11.493565775,0
0.000525,2.52,585.775,421.5380466,11.4955466,0
0.00105,3.78,585.775,421.541347975,11.498847975,0
0.00175,5.04,585.775,421.5459699,11.5034699,0
0.002625,6.3,585.775,421.551912375,11.509412375,0
0.003675,7.56,585.775,421.5591754,11.5166754,0
0.0049,8.82,585.775,421.567758975,11.525258975,0
0.0063,10.08,585.775,421.5776631,11.5351631,0
0.007875,11.34,585.775,421.588887775,11.546387775,0
0.009625,12.6,585.775,421.601433,11.558933,0
0.01155,13.86,585.775,421.615298775,11.572798775,0
0.01365,15.12,585.775,421.6304851,11.5879851,0
0.015925,16.38,585.775,421.646991975,11.604491975,0
0.018375,17.64,585.775,421.6648194,11.6223194,0
0.021,18.9,585.775,421.683967375,11.641467375,0
0.0238,20.16,585.775,421.7044359,11.6619359,0
0.026775,21.42,585.775,421.726224975,11.683724975,0
0.029925,22.68,585.775,421.7493346,11.7068346,0
0.03325,23.94,585.775,421.773764775,11.731264775,0
0.03675,25.2,585.775,421.7995155,11.7570155,0
0.040425,26.46,585.775,421.826586775,11.784086775,0
0.044275,27.72,585.775,421.8549786,11.8124786,0
0.0483,28.98,585.775,421.884690975,11.842190975,0
0.0525,30.24,585.775,421.9157239,11.8732239,0
0.056875,31.5,585.775,421.948077375,11.905577375,0
0.061425,32.76,585.775,421.9817514,11.9392514,0
0.06615,34.02,585.775,422.016745975,11.974245975,0
0.07105,35.28,585.775,422.0530611,12.0105611,0
0.076125,36.54,585.775,422.090696775,12.048196775,0
0.081375,37.8,585.775,422.129653,12.087153,0
0.0868,39.06,585.775,422.169929775,12.127429775,0
0.0924,40.32,585.775,422.2115271,12.1690271,0
0.098175,41.58,585.775,422.254444975,12.211944975,0
0.104125,42.84,585.775,422.2986834,12.2561834,0
0.11025,44.1,585.775,422.344242375,12.301742375,0
0.11655,45.36,585.775,422.3911219,12.3486219,0
0.123025,46.62,585.775,422.439321975,12.396821975,0
0.129675,47.88,585.775,422.4888426,12.4463426,0
0.1365,49.14,585.775,422.539683775,12.497183775,0
0.1435,50.4,585.775,422.5918455,12.5493455,0
0.150675,51.66,585.775,422.645327775,12.602827775,0
0.158025,52.92,585.775,422.7001306,12.6576306,0
0.16555,54.18,585.775,422.756253975,12.713753975,0
0.17325,55.44,585.775,422.8136979,12.7711979,0
0.181125,56.7,585.775,422.872462375,12.829962375,0
0.189175,57.96,585.775,422.9325474,12.8900474,0
0.1974,59.22,585.775,422.993952975,12.951452975,0
0.2058,60.48,585.775,423.0566791,13.0141791,0
0.214375,61.74,585.775,423.120725775,13.078225775,0
0.223125,63,585.775,423.186093,13.143593,0
0.23205,64.26,585.775,423.252780775,13.210280775,0
0.24115,65.52,585.775,423.3207891,13.2782891,0
0.250425,66.78,585.775,423.390117975,13.347617975,0
0.259875,68.04,585.775,423.4607674,13.4182674,0
0.2695,69.3,585.775,423.532737375,13.490237375,0
0.2793,70.56,585.775,423.6060279,13.5635279,0
0.289275,71.82,585.775,423.680638975,13.638138975,0
0.299425,73.08,585.775,423.7565706,13.7140706,0
0.30975,74.34,585.775,423.833822775,13.791322775,0
0.32025,75.6,585.775,423.9123955,13.8698955,0
0.330925,76.86,585.775,423.992288775,13.949788775,0
0.341775,78.12,585.775,424.0735026,14.0310026,0
0.3528,79.3800000000001,585.775,424.156036975,14.113536975,0
0.364,80.6400000000001,585.775,424.2398919,14.1973919,0
0.375375,81.9000000000001,585.775,424.325067375,14.282567375,0
0.386925,83.1600000000001,585.775,424.4115634,14.3690634,0
0.39865,84.4200000000001,585.775,424.499379975,14.456879975,0
0.41055,85.6800000000001,585.775,424.5885171,14.5460171,0
0.422625,86.9400000000001,585.775,424.678974775,14.636474775,0
0.434875,88.2000000000001,585.775,424.770753,14.728253,0
0.4473,89.4600000000001,585.775,424.863851775,14.821351775,0
0.4599,90.7200000000001,585.775,424.9582711,14.9157711,0
0.4724,90,585.775,14.8616555,14.8616555,0
0.4849,90,585.775,14.8616555,14.8616555,0
0.4974,90,585.775,14.8616555,14.8616555,0
0.5099,90,585.775,14.8616555,14.8616555,0
0.5224,90,585.775,14.8616555,14.8616555,0
0.5349,90,585.775,14.8616555,14.8616555,0
