Zaman_s,Konum_km,Hiz_kmh,Ivme_ms2,Jerk_ms3,Kutle_Ton,Kuvvet_kN,Guc_kW,Disk_Sicaklik_C,Stres_MPa
0.2,2.8e-05,0.504,0.7,3.5,585.775,421.535511144,59.01497156016,25,482.365930908538
0.4,8.4e-05,1.008,0.7,0,585.775,421.535828076,118.03003186128,25,482.365930908538
0.6,0.000168,1.512,0.7,0,585.775,421.536356296,177.04526964432,25,482.365930908538
0.8,0.00028,2.016,0.7,0,585.775,421.537095804,236.06077365024,25,482.365930908538
1,0.00042,2.52,0.7,0,585.775,421.5380466,295.07663262,25,482.365930908538
1.2,0.000588,3.024,0.7,0,585.775,421.539208684,354.09293529456,25,482.365930908538
1.4,0.000784,3.528,0.7,0,585.775,421.540582056,413.10977041488,25,482.365930908538
1.6,0.001008,4.032,0.7,0,585.775,421.542166716,472.12722672192,25,482.365930908538
1.8,0.00126,4.536,0.7,0,585.775,421.543962664,531.14539295664,25,482.365930908538
2,0.00154,5.04,0.7,0,585.775,421.5459699,590.16435786,25,482.365930908538
2.2,0.001848,5.544,0.7,0,585.775,421.548188424,649.18421017296,25,482.365930908538
2.4,0.002184,6.048,0.7,0,585.775,421.550618236,708.20503863648,25,482.365930908538
2.6,0.002548,6.552,0.7,0,585.775,421.553259336,767.22693199152,25,482.365930908538
2.8,0.00294,7.056,0.7,0,585.775,421.556111724,826.24997897904,25,482.365930908538
3,0.00336,7.56,0.7,0,585.775,421.5591754,885.27426834,25,482.365930908538
3.2,0.003808,8.064,0.7,0,585.775,421.562450364,944.29988881536,25,482.365930908538
3.4,0.004284,8.568,0.7,0,585.775,421.565936616,1003.32692914608,25,482.365930908538
3.6,0.004788,9.072,0.7,0,585.775,421.569634156,1062.35547807312,25,482.365930908538
3.8,0.00532,9.576,0.7,0,585.775,421.573542984,1121.38562433744,25,482.365930908538
4,0.00588,10.08,0.7,0,585.775,421.5776631,1180.41745668,25,482.365930908538
4.2,0.006468,10.584,0.7,0,585.775,421.581994504,1239.45106384176,25,482.365930908538
4.4,0.007084,11.088,0.7,0,585.775,421.586537196,1298.48653456368,25,482.365930908538
4.6,0.007728,11.592,0.7,0,585.775,421.591291176,1357.52395758672,25,482.365930908538
4.8,0.0084,12.096,0.7,0,585.775,421.596256444,1416.56342165184,25,482.365930908538
5,0.0091,12.6,0.7,0,585.775,421.601433,1475.6050155,25,482.365930908538
5.2,0.009828,13.104,0.7,0,585.775,421.606820844,1534.64882787216,25,482.365930908538
5.4,0.010584,13.608,0.7,0,585.775,421.612419976,1593.69494750928,25,482.365930908538
5.6,0.011368,14.112,0.7,0,585.775,421.618230396,1652.74346315232,25,482.365930908538
5.8,0.01218,14.616,0.7,0,585.775,421.624252104,1711.79446354224,25,482.365930908538
6,0.01302,15.12,0.7,0,585.775,421.6304851,1770.84803742,25,482.365930908538
6.2,0.013888,15.624,0.7,0,585.775,421.636929384,1829.90427352656,25,482.365930908538
6.4,0.014784,16.128,0.7,0,585.775,421.643584956,1888.96326060288,25,482.365930908538
6.6,0.015708,16.632,0.7,0,585.775,421.650451816,1948.02508738992,25,482.365930908538
6.8,0.01666,17.136,0.7,0,585.775,421.657529964,2007.08984262864,25,482.365930908538
7,0.01764,17.64,0.7,0,585.775,421.6648194,2066.15761506,25,482.365930908538
7.2,0.018648,18.144,0.7,0,585.775,421.672320124,2125.22849342496,25,482.365930908538
7.4,0.019684,18.648,0.7,0,585.775,421.680032136,2184.30256646448,25,482.365930908538
7.6,0.020748,19.152,0.7,0,585.775,421.687955436,2243.37992291952,25,482.365930908538
7.8,0.02184,19.656,0.7,0,585.775,421.696090024,2302.46065153104,25,482.365930908538
8,0.02296,20.16,0.7,0,585.775,421.7044359,2361.54484104,25,482.365930908538
8.2,0.024108,20.664,0.7,0,585.775,421.712993064,2420.63258018736,25,482.365930908538
8.4,0.025284,21.168,0.7,0,585.775,421.721761516,2479.72395771408,25,482.365930908538
8.6,0.026488,21.672,0.7,0,585.775,421.730741256,2538.81906236112,25,482.365930908538
8.8,0.02772,22.176,0.7,0,585.775,421.739932284,2597.91798286944,25,482.365930908538
9,0.02898,22.68,0.7,0,585.775,421.7493346,2657.02080798,25,482.365930908538
9.2,0.030268,23.184,0.7,0,585.775,421.758948204,2716.12762643376,25,482.365930908538
9.4,0.031584,23.688,0.7,0,585.775,421.768773096,2775.23852697168,25,482.365930908538
9.6,0.032928,24.192,0.7,0,585.775,421.778809276,2834.35359833472,25,482.365930908538
9.8,0.0343,24.696,0.7,0,585.775,421.789056744,2893.47292926384,25,482.365930908538
